Response_ID,Industry,SaaS_Business_Model,Company_Size_Employees,Role,FP&A_Team_Size,Primary_FP&A_Stack,Source_System_Categories,Q_Exact_Source_System_Count,Q_Automation_Level_1to5,Derived_Integration_Gap_1to5,Q_FP&A_Time_on_Data_Preparation_Pct,Q_Exact_Consolidation_Team_Hours_Per_Month,Q_Manual_Data_Transfers_Per_Cycle,Q_Spreadsheet_Dependency_1to5,Q_Discrepancy_Frequency_1to5,Q_Manual_Correction_Frequency_1to5,Q_Reconciliation_Hours_Per_Month,Q_Material_Corrections_Last_3_Cycles,Q_Reporting_Lag_Business_Days,Q_Data_Related_Additional_Delay_Days,Q_Time_to_Finance_Ready_Data_Days,Q_Forecast_Revision_Frequency_1to5,Q_Strategic_Time_Limitation_1to5,Q_Problem_Severity_1to5,Q_Improvement_Priority_1to5,Q_Current_Solution_Adequacy_1to5,Q_Existing_Investment,Issue_Time_Consuming_Collection,Issue_Manual_Cleaning_Transformation,Issue_Mapping_Difficulty,Issue_Reconciliation,Issue_Manual_Spreadsheet_Consolidation,Issue_Data_Related_Reporting_Delays,Issue_Data_Related_Forecast_Revisions,Derived_Problem_Prevalence_Flag,Q_Willing_Followup_Interview
R11,SaaS / Software,B2B SaaS,500-999,FP&A Manager,5,Custom warehouse/BI + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics,6,4,2,28,63,14,3,3,3,18,1,5.1,1.7,2.8,3,3,4,3,3,Considering investment,0,0,1,1,1,1,0,1,No
R12,SaaS / Software,Hybrid subscription,250-499,FP&A Manager,2,Dedicated FP&A platform + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,7,4,2,25,37,10,3,3,3,12,0,2.9,0.3,1.8,4,3,2,3,4,No,0,0,0,0,0,0,0,0,Yes
R13,SaaS / Software,B2C SaaS,250-499,Finance Systems / Finance Operations,3,Excel + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics,6,4,2,19,41,13,3,3,3,18,1,3.1,0.9,2.0,3,3,3,2,4,Considering investment,0,1,0,0,1,0,0,1,Yes
R14,SaaS / Software,B2C SaaS,500-999,FP&A Analyst,4,Google Sheets + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,8,3,3,33,45,15,5,5,4,24,2,6.9,1.9,3.4,4,5,5,4,2,"Yes, significant investment",1,1,0,0,1,1,0,1,Yes
R15,SaaS / Software,B2B SaaS,100-249,Financial Controller,3,Dedicated FP&A platform + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake; Product/Usage Database,10,3,3,41,70,21,4,5,5,21,3,5.6,2.6,2.7,4,4,5,5,2,"Yes, significant investment",1,0,1,0,1,1,1,1,Yes
R16,SaaS / Software,B2B SaaS,250-499,VP Finance / CFO,6,Dedicated FP&A platform + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,8,3,3,31,48,17,3,3,3,19,2,3.4,2.2,3.1,3,2,4,4,3,"Yes, some investment",1,1,1,1,1,1,0,1,Yes
R17,SaaS / Software,Usage-based SaaS,100-249,FP&A Analyst,2,Google Sheets + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,7,4,2,36,49,11,2,3,2,17,1,4.5,0.8,2.1,3,3,3,4,4,Considering investment,1,0,0,1,1,1,0,1,No
R18,SaaS / Software,Vertical SaaS,"1,000-1,999",FP&A Analyst,7,Excel + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,8,3,3,25,60,20,3,3,3,19,2,5.0,2.2,3.3,3,3,4,5,2,"Yes, some investment",1,1,0,0,1,0,0,1,No
R19,SaaS / Software,B2B SaaS,"1,000-1,999",Financial Controller,7,Custom warehouse/BI + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,8,4,2,25,29,14,2,2,2,18,1,4.8,1.6,2.7,2,3,3,4,4,Considering investment,1,0,1,0,1,0,1,1,Yes
R20,SaaS / Software,B2B SaaS,250-499,FP&A Manager,4,Dedicated FP&A platform + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics,6,3,3,42,44,14,3,3,3,17,1,3.6,1.9,2.3,3,4,4,3,3,Considering investment,0,0,0,0,1,1,1,1,Yes
R21,SaaS / Software,B2B SaaS,500-999,FP&A Manager,3,ERP + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake; Product/Usage Database,9,2,4,34,93,15,3,4,3,22,2,6.0,1.1,3.1,4,5,4,4,2,"Yes, some investment",1,0,1,1,1,0,0,1,Yes
R22,SaaS / Software,Hybrid subscription,100-249,FP&A Manager,4,ERP + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,7,3,3,33,48,16,3,4,3,12,1,3.2,2.6,2.3,5,4,4,2,3,Considering investment,1,0,0,1,1,0,1,1,No
R23,SaaS / Software,Hybrid subscription,500-999,Head/Director of FP&A,5,Excel + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake; Product/Usage Database,9,3,3,33,58,18,3,4,3,14,2,2.4,1.5,2.1,5,4,4,4,3,"Yes, some investment",1,1,0,1,0,1,1,1,Yes
R24,SaaS / Software,B2C SaaS,"1,000-1,999",Senior FP&A Analyst,9,Excel + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake; Product/Usage Database,10,2,4,37,77,19,5,5,4,23,3,4.7,2.5,2.6,5,4,5,4,1,"Yes, significant investment",1,1,1,1,1,1,1,1,Yes
R25,SaaS / Software,Vertical SaaS,"1,000-1,999",FP&A Analyst,6,Dedicated FP&A platform + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake; Product/Usage Database,9,3,3,33,38,14,2,3,3,19,2,5.5,2.3,2.3,3,5,4,3,3,"Yes, some investment",0,1,1,1,1,1,1,1,Yes
R26,SaaS / Software,Usage-based SaaS,500-999,Head/Director of FP&A,4,Excel + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake; Product/Usage Database,9,3,3,39,55,19,5,4,5,20,3,3.5,2.4,2.9,3,4,5,5,1,"Yes, significant investment",1,1,1,1,1,0,0,1,Yes
R27,SaaS / Software,Hybrid subscription,"1,000-1,999",Senior FP&A Analyst,8,Excel + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,7,3,3,27,71,12,4,3,5,25,2,6.0,0.9,2.5,3,4,4,4,2,"Yes, some investment",0,1,1,0,1,0,0,1,Yes
R28,SaaS / Software,Hybrid subscription,100-249,VP Finance / CFO,2,Custom warehouse/BI + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,7,3,3,33,46,18,4,3,5,16,2,2.8,1.7,2.9,4,2,4,3,2,"Yes, some investment",0,1,0,0,0,1,1,1,Yes
R29,SaaS / Software,B2B SaaS,250-499,Finance Systems / Finance Operations,5,Dedicated FP&A platform + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,8,3,3,29,69,21,3,3,3,9,2,2.7,2.6,2.1,3,4,4,4,3,"Yes, some investment",0,0,0,1,1,0,1,1,Yes
R30,SaaS / Software,B2B SaaS,100-249,Financial Controller,2,Excel + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics,6,4,2,33,34,12,2,3,2,12,0,2.8,1.1,1.9,2,4,2,2,5,No,0,1,0,1,0,1,0,1,No
R31,SaaS / Software,B2B SaaS,250-499,FP&A Manager,4,ERP + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll,5,4,2,20,27,10,3,2,3,18,0,5.1,1.0,2.2,3,2,2,1,4,No,1,0,1,0,0,0,0,1,Yes
R32,SaaS / Software,B2B SaaS,500-999,VP Finance / CFO,5,ERP + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake; Product/Usage Database,10,3,3,40,58,16,4,4,4,20,2,4.3,1.8,2.9,4,5,4,4,2,"Yes, some investment",1,1,1,1,0,1,1,1,Yes
R33,SaaS / Software,B2B SaaS,500-999,FP&A Analyst,4,Google Sheets + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,8,4,2,27,32,16,4,4,3,21,2,5.2,2.0,2.8,5,5,4,3,2,"Yes, some investment",1,1,1,1,0,1,0,1,Yes
R34,SaaS / Software,B2C SaaS,100-249,FP&A Analyst,2,ERP + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,7,3,3,28,53,17,3,3,2,15,2,4.3,1.9,2.9,1,3,4,4,3,"Yes, some investment",0,1,0,1,0,1,0,1,Yes
R35,SaaS / Software,Hybrid subscription,"1,000-1,999",VP Finance / CFO,7,Custom warehouse/BI + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics,6,4,2,12,32,11,2,2,1,16,0,5.3,0.8,2.2,2,2,1,3,5,No,0,0,0,0,0,0,0,0,Yes
R36,SaaS / Software,B2B SaaS,250-499,FP&A Manager,2,Dedicated FP&A platform + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake; Product/Usage Database,9,3,3,42,74,16,4,3,5,18,2,4.0,1.8,2.6,3,4,4,5,2,"Yes, some investment",1,0,0,1,1,0,0,1,Yes
R37,SaaS / Software,Hybrid subscription,"1,000-1,999",Head/Director of FP&A,7,Custom warehouse/BI + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake; Product/Usage Database,10,2,4,40,60,21,3,4,3,20,3,4.5,2.9,2.6,4,5,5,5,1,"Yes, significant investment",1,1,0,1,1,0,0,1,No
